deputyid	name	party	v001	v002	v003	v004	v005	v006	v007	v008	v009	v010	v011	v012	v013	v014	v015	v016	v017	v018	v019	v020	v021	v022	v023	v024	v025	v026	v027	v028	v029	v030	v031	v032	v033	v034	v035	v036	v037	v038	v039	v040	v041	v042	v043	v044	v045	v046	v047	v048	v049	v050	v051	v052	v053	v054	v055	v056	v057	v058	v059	v060	v061	v062	v063	v064	v065	v066	v067	v068	v069	v070	v071	v072	v073	v074	v075	v076	v077	v078	v079	v080	v081	v082	v083	v084	v085	v086	v087	v088	v089	v090	v091	v092	v093	v094	v095	v096	v097	v098	v099	v100	v101	v102	v103	v104	v105	v106	v107	v108	v109	v110	v111	v112	v113	v114	v115	v116	v117	v118	v119	v120	v121	v122	v123	v124	v125	v126	v127	v128	v129	v130	v131	v132	v133	v134	v135	v136	v137	v138	v139	v140	v141	v142	v143	v144	v145	v146	v147	v148	v149	v150	v151	v152	v153	v154	v155	v156	v157	v158	v159	v160	v161	v162	v163	v164	v165	v166	v167	v168	v169	v170	v171	v172	v173	v174	v175	v176	v177	v178	v179	v180	v181	v182	v183	v184	v185	v186	v187	v188	v189	v190	v191	v192	v193	v194	v195	v196	v197	v198	v199	v200	v201	v202	v203	v204	v205	v206	v207	v208	v209	v210	v211	v212	v213	v214	v215	v216	v217	v218	v219	v220	v221	v222	v223	v224	v225	v226	v227	v228	v229	v230	v231	v232	v233	v234	v235	v236	v237	v238	v239	v240	v241	v242	v243	v244	v245	v246	v247	v248	v249	v250	v251	v252	v253	v254	v255	v256	v257	v258	v259	v260	v261	v262	v263	v264	v265	v266	v267	v268	v269	v270	v271	v272	v273	v274	v275	v276	v277	v278	v279	v280	v281	v282	v283	v284	v285	v286	v287	v288	v289	v290	v291	v292	v293	v294	v295	v296	v297	v298	v299	v300	v301	v302	v303	v304	v305	v306	v307	v308	v309	v310	v311	v312	v313	v314	v315	v316	v317	v318	v319	v320	v321	v322	v323	v324	v325	v326	v327	v328	v329	v330	v331	v332	v333	v334	v335	v336	v337	v338	v339	v340	v341	v342	v343	v344	v345	v346	v347	v348	v349	v350	v351	v352	v353	v354	v355	v356	v357	v358	v359	v360	v361	v362	v363	v364	v365	v366	v367	v368	v369	v370	v371	v372	v373	v374	v375	v376	v377	v378	v379	v380	v381	v382	v383	v384	v385	v386	v387	v388	v389	v390	v391	v392	v393	v394	v395	v396	v397	v398	v399	v400	v401	v402	v403	v404	v405	v406	v407	v408	v409	v410	v411	v412	v413	v414	v415	v416	v417	v418	v419	v420	v421	v422	v423	v424	v425	v426	v427	v428	v429	v430	v431	v432	v433	v434	v435	v436	v437	v438	v439	v440	v441	v442	v443	v444	v445	v446	v447	v448	v449	v450	v451	v452	v453	v454	v455	v456	v457	v458	v459	v460	v461	v462	v463	v464	v465	v466	v467	v468	v469	v470	v471	v472	v473	v474	v475	v476	v477	v478	v479	v480	v481	v482	v483	v484	v485	v486	v487	v488	v489	v490	v491	v492	v493	v494	v495	v496	v497	v498	v499	v500	v501	v502	v503	v504	v505	v506	v507	v508	v509	v510	v511	v512	v513	v514	v515	v516	v517	v518	v519	v520	v521	v522	v523	v524	v525	v526	v527	v528	v529	v530	v531	v532	v533	v534	v535	v536	v537	v538	v539	v540	v541	v542	v543	v544	v545	v546	v547	v548	v549	v550	v551	v552	v553	v554	v555	v556	v557	v558	v559	v560	v561	v562	v563	v564	v565	v566	v567	v568	v569	v570	v571	v572	v573	v574	v575	v576	v577	v578	v579	v580	v581	v582	v583	v584	v585	v586	v587	v588	v589	v590	v591	v592	v593	v594	v595	v596	v597	v598	v599	v600	v601	v602	v603	v604	v605	v606	v607	v608	v609	v610	v611	v612	v613	v614	v615	v616	v617	v618	v619	v620	v621	v622	v623	v624	v625	v626	v627	v628	v629	v630	v631	v632	v633	v634	v635	v636	v637	v638	v639	v640	v641	v642	v643	v644	v645	v646	v647	v648	v649	v650	v651	v652	v653	v654	v655	v656	v657	v658	v659	v660	v661	v662	v663	v664	v665	v666	v667	v668	v669	v670	v671	v672	v673	v674	v675	v676	v677	v678	v679	v680	v681	v682	v683	v684	v685	v686	v687	v688	v689
"Date"	""		2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07
"Vote #"	""		"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	15	16	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	15	16	17	18	19	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	15	16	17	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	15	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	15	16	17	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"yes"	"open-ended question (legislators are free to decide)"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	15	16	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	15	16	17	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	15	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"absent w/permission"	"suspended"	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	"yes"	"open-ended question (legislators are free to decide)"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"absent"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no declaration"	"abstain"	"no response"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	1	1	2	3	4	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	1	2	3	4	5	1	2	3	4	5	6	7	8	9	10	1	2	3	4	1	1	2	3	4	5	6	7	8	9	10	11	1	2	3	4	5	6	7	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	1	2	3	4	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	1	2	3	4	5	6	7	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	1	2	3	4	1	2	3	4	5	6	7	8	9	10	11	12	13	14	1	2	3	4	5	6	1	1	2	3	4	5	6	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	1	2	1	2	3	4	5	6	7	1	2	3	4	5	6	1	2	3	4	5	6	1	2	3	4	5	6	7	8	9	1	2	3	4	5	6	1	2	3	4	5	6	7	8	9	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9	10
"Issue"	""		"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"no response"	"no response"	"no response"	"obstruction procedure"	"abstain"	"abstain"	"abstain"	"no response"	"yes"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"yes"	"no response"	"no response"	"yes"	"no declaration"	"no declaration"	"yes"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"abstain"	"abstain"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"yes"	"yes"	"obstruction procedure"	"abstain"	"open-ended question (legislators are free to decide)"	"abstain"	"no declaration"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"no response"	"yes"	"open-ended question (legislators are free to decide)"	"no response"	"no declaration"	"yes"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"yes"	"yes"	"yes"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"no declaration"	"abstain"	"obstruction procedure"	"abstain"	"abstain"	"abstain"	"abstain"	"obstruction procedure"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"abstain"	"yes"	"yes"	"obstruction procedure"	"obstruction procedure"	"no declaration"	"yes"	"yes"	"yes"	"yes"	"yes"	"obstruction procedure"	"yes"	"open-ended question (legislators are free to decide)"	"yes"	"obstruction procedure"	"yes"	"obstruction procedure"	"no response"	"no response"	"no response"	"no response"	"yes"	"no declaration"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"yes"	"yes"	"yes"	"yes"	"yes"	"obstruction procedure"	"yes"	"no declaration"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"yes"	"yes"	"yes"	"no response"	"no response"	"obstruction procedure"	"yes"	"yes"	"yes"	"yes"	"no declaration"	"obstruction procedure"	"yes"	"obstruction procedure"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"yes"	"open-ended question (legislators are free to decide)"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"yes"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"abstain"	"open-ended question (legislators are free to decide)"	"yes"	"obstruction procedure"	"yes"	"yes"	"obstruction procedure"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"abstain"	"abstain"	"obstruction procedure"	"yes"	"yes"	"yes"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"yes"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"yes"	"yes"	"yes"	"yes"	"abstain"	"yes"	"yes"	"obstruction procedure"	"obstruction procedure"	"no response"	"obstruction procedure"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"no response"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no response"	"open-ended question (legislators are free to decide)"	"no response"	"yes"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"yes"	"obstruction procedure"	"no declaration"	"obstruction procedure"	"abstain"	"abstain"	"yes"	"abstain"	"abstain"	"yes"	"yes"	"yes"	"yes"	"abstain"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"yes"	"open-ended question (legislators are free to decide)"	"no response"	"yes"	"no response"	"no declaration"	"no declaration"	"yes"	"no declaration"	"yes"	"yes"	"yes"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"yes"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"no response"	"abstain"	"abstain"	"open-ended question (legislators are free to decide)"		"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"no response"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"no declaration"	"no response"	"yes"	"open-ended question (legislators are free to decide)"	"yes"	"open-ended question (legislators are free to decide)"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no declaration"	"yes"	"obstruction procedure"	"abstain"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"yes"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"yes"	"no response"	"open-ended question (legislators are free to decide)"	"yes"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"abstain"	"obstruction procedure"	"yes"	"abstain"	"obstruction procedure"	"obstruction procedure"	"abstain"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"yes"	"yes"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"abstain"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"yes"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"obstruction procedure"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"open-ended question (legislators are free to decide)"	"obstruction procedure"	"obstruction procedure"	3	2	3	3	3	3	3	1	3	2	1	5	3	3	3	5	3	5	5	3	3	3	3	3	3	3	3	1	4	1	3	1	3	5	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	5	3	3	2	3	3	3	3	3	3	3	5	5	5	3	5	5	3	3	5	1	1	3	1	3	3	4	3	3	4	2	1	3	3	1	1	5	5	3	3	3	3	1	5	5	5	2	1	1	5	3	3	1	3	3	1	3	3	3	3	3	3	3	5	2	1	3	1	1	1	5	5	5	5	5	6	2	2	5	5	5	5	5	5	3	2	2	2	2	2	1	1	1	1	1	2	2	6	3	3	3	6	6	6	6	6	3	3	3	5	3	1	1	1	2	3	6	6	1	3	3	3	2	3	3	6	2	5	5	5	2	1	5	2	5	2	2	2	2	2	1	5	5	3	3	3	6	3	3	6	6	3	3	5	2	5	5	2	2	5	3	3	3	5	5	3	3	2	2	2	2	5	5	5	3	6	3	5	5	3	3	3	4	1	5	3	2	1	1	5	6	5	2	3	3	3	3	6	5	1	3	3	5	1	3	3	5	3	1	5	3	3	5	3	3	3	3	3	3	3	3	3	3	3	1	2	2	1	1	2	3	3	2	2	2	2	5	2	2	2	2	1	2	2	3	3	3	3	2	2	2	3	3	3	5	2	5	3	3	5	5	5	3	4	2	1	5	2	5	5	5	5	5	3	3	5	2	5	2	1	5	5	2	1	1	3	5	3	3	5	3	3	5	2	1
