c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107
"d155"	"Herrera Becerra, Ernesto Américo"	"3"	"17"	1	1	1	1	1	1	7	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	7	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	0	1	0	0	1	7	7	1	1	7	7	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
"d156"	"Heysen Zegarra, Luis Gabriel"	"4"	"1"	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	7	7	7	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	0	7	7	7	7	7	1	1	1	1	1	1	1	7	1	1	1	1	1	7	1	1	1	7	1	1	1	1	1	1
"d044"	"Higuchi Miyagawa, Susana"	"5"	"14"	1	1	1	1	1	1	6	1	1	1	7	7	7	7	7	7	7	7	7	7	1	7	7	7	7	7	7	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
"d045"	"Hildebrandt Pérez Treviño, Martha Luz"	"12"	"14"																													7	7	1	1	1	1	1	1	5	5	1	0	1	5	7	1	8	8	8	8	8	8	8	8	8	8	8	8	8	5	5	5	5	5	1	5	5	1	1	7	1	5	1	1	5	1	7	7	7	7	7	7	7	1	5	5	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d048"	"Iberico Núñez, Luis Carlos Antonio"	"5"	"14"	1	1	1	1	1	1	1	1	6	6	6	1	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	7	1	1	1	1	1	1	1	1	6	6	1	1	1	1	7	1	7	1	6	1	1		1	1	1	6	1	1	1	7	1	5	0	1	1	1	6	1	1	1	7	7	7	1	1	1	1	1	1	6	0	1	1	6	1	1
"d157"	"Infantas Fernández, Carlos Armando"	"5"	"11"	1	1	1	1	7	1	7	8	8	8	7	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	6	6	1	1	1	0	0	1	1	1	1	1
"d158"	"Jaimes Serkovic, Santos Juan"	"3"	"9"	1	1	6	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	7	1	1	1	0	0	7	1	1	1	1	7	7	1	1	1	1	1	1	1	1	1	0	6	1	1	7	1	7
"d159"	"Jiménez Dioses, Gonzalo Arnulfo"	"10"	"23"	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	6	1	1	1	1	1	0	7	7	7	7	7	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	1	1	1	1	1	7	7	1	1	1	6	6	1	1	6	1	6	6	7	6	6	1	6	7	7	6	7	7	7
"d050"	"Jurado Adriazola, Ronnie Edgard"	"3"	"22"	1	1	7	7	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	7	1	1	7	1	1	6	7	7	7	1	7	1	1	1	1	1	7	6	7	7	7	7	7	7	7	7	7	7	7	1	0	0	1	7	7	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d160"	"Latorre Lopez, Adolfo"	"3"	"7"	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	7	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	7	7	1	1	1	1	0	0	1	1	1	1	1
"d054"	"León Flores, Rosa Marina"	"4"	"12"	1	1	7	5	7	7	7	8	8	8	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	7	1	7	7	7	7	7	7	1	1	1	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	0	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1
"d161"	"Lescano Anchieta,Yonhy"	"10"	"20"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	7	7	7	7	7	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	7	1	7	7	7	1	1	1	1	1	7	1	1	6	6	1	1	7	1	1	7	7	1	1	1	1	1	1	7	7	7	7	6	1	1	1	1	1	7	1	1	1	1	1
"d162"	"Llique Ventura, Alcides"	"3"	"0"	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	6	1	0	1	1	1	1	1	7	1	1	1	1	6	1	1	1	1	1	1	7	1	1	1	1	1	6	1	1	6	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	6	1	1	1	1	0	0	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d055"	"Lozado Rendón de Gamboa, Carmen"	"1"	"14"	5	5	7	7	1	1	7	1	5	6	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9																																																																											
"d056"	"Luna Gálvez, José León"	"11"	"14"	1	1	7	7	1	1	7	7	7	7	1	1	6	6	7	7	7	7	7	7	1	0	5	5	5	5	5	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	7	7	7	7	7		7	1	1	1	1	1	1	7	1	7	7	7	7	7	7	7	1	1	1	1	7	7	7	1	1	1	1	7	7	7	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d163"	"Maldonado Reátegui, Arturo"	"11"	"21"	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	0	5	1	1	1	1	0	5	5	5	5	5	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	8	8	8	8	8	8	8	1	1	1	1	1	1	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"d164"	"Martínez Gonzales, Michael"	"10"	"2"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	6	1	1	0	7	7	7	7	7	1	1	1	0	1	1	1	1	1	1	1	1	1	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	1	1	1	7	6	1	7	7	1	7	1	1	1	1	1	1	0	7	1	1	1	1
"d165"	"Mena Melgarejo, Hermenegildo Máximo"	"3"	"1"	7	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	8	8	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	7	1	1	1	7	1	1	1	0	0	1	1	1	1	1	1	1	8	8	8	8	8	1	1	1	1	0	0	1	1	1	1	0
"d166"	"Mera Ramirez, Jorge Luis"	"10"	"15"	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	7	7	7	7	7	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	7
"d167"	"Merino De Lama, Manuel Arturo"	"10"	"23"	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	5	6	5	5	1	1	1	1	5	1	1	1	1	7	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	7	1	1	1	1	1	1	1	1	1	1	1	5	6	6	1	1	7	1	5	0	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d168"	"Molina Almanza, Mario"	"3"	"7"	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	7	7	7	7	7	7	7	5	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	0	1	1	1	1	1
"d169"	"Morales Castillo, Fabiola María"	"11"	"19"	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	1	0	7	7	7	7	7	8	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	7	7	1	1	1	1	1	1	1	1	7	1	1	1	7	5	8	8	8	8	8	8	8	8	8	8	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7
"d067"	"Morales Mansilla, Pedro Antonio"	"10"	"11"	1	1	7	1	7	7	7	1	1	7	1	1	1	1	1	0	1	1	1	7	1	7	7	7	7	7	7	1	7	7	0	7	7	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	1	1	1	1	6	1	7	1	1	1	1	1	1	1	0	1	5	1	1	7	1	7	7	7	1	1	1	1	1	1	7	1	1	1	7	1	1	1	1	1	7	1	1	1	1	7
"d068"	"Moyano Delgado, Martha Lupe"	"12"	"14"																													1	6	1	1	1	1	1	1	5	1	1	0	1	1	5	1	7	5	1	1	7	7	7	7	7	7	7	7	7	5	0	8	8	5	8	5	7	7	7	7	7	7	7	7	7	7	1	1	1	5	5	1	1	1	5	5	1	1	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d170"	"Mufarech Nemy, Jorge Yamil"	"3"	"14"	1	1	8	8	8	8	8	8	8	1	1	1	0	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	8	8	8	1	1	1	1	1	1	1	7	1	1	7	7	7	7	7	7	7	1	1	1	1	1	7	1	1	7	1	1	1	7	6	7	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d171"	"Mulder Bedoya, Claudio Mauricio"	"4"	"14"	1	1	1	1	1	1	1	1	1	6	6	1	1	0	1	0	0	0	5	1	1	1	1	1	1	1	1	6	1	1	7	1	1	1	1	1	1	1	1	1	1	1	7	6	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	7	1	1	7	6	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	7
"d172"	"Negreiros Criado, Luis Alberto"	"4"	"6"	6	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	6	7	7	7	7	1	1	1	1	1	1	1	7	1	1	0	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"d173"	"Noriega Toledo, Víctor Manuel"	"4"	"5"	1	1	1	1	7	7	1	1	1	1	1	1	1	1	1	0	0	7	7	1	6	7	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	0	1	1	1	6	1	1	1	1	6	1	1	1	1	7	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"d070"	"Núñez Dávila, Dora Isidora"	"5"	"3"	1	1	1	1	1	1	7	7	7	1	1	1	0	1	6	7	7	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	0	0	1	1	1	1	1
"d174"	"Olaechea García, Manuel Jesús"	"3"	"3"	1	1	1	1	6	1	1	7	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	1	1	1	1	1	1	1	7	7	1	1	1	1	1	1	7	7	7	7	7	7	7	7	1	7	7	7	1	1	1	6	1	7	1	1	7	1	1	1	7	7	7	7	7	7	7	1	0	0	1	1	7	1	6	1	1	7	7	1	7	7	7	7	7	7	0	0	1	1	1	1	7
"d175"	"Ore Mora, Alejandro"	"3"	"8"	1	1	1	1	1	1	7	1	6	1	1	1	0	1	7	7	7	6	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	6	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	6	1	1	7	7	1	6	1	7	1	1	1	1	7	7	7	1	0	0	1	1	6	1	1	7	7	1	6	1	7	1	1	1	1	6	0	0	1	1	1	1	7
"d176"	"Pacheco Villar, Gustavo Adolfo"	"5"	"20"	1	1	1	1	1	1	1	1	1	1	6	1	0	6	1	1	6	1	1	1	1	1	1	1	1	1	1	6	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	6	1	1	1	1	7	7	7	7	7	1	1	7	7	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	1	1	1	1	1	7	1	1	7	1	1	1	1	1	1	0	0	1	1	1	1	1
"d177"	"Palomino Sulca, Celina"	"3"	"4"	1	1	1	1	1	1	7	8	8	8	7	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	1	1	1	7	7	7	1	1	1	7	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	7	1	1	1	0	0	1	1	1	6	1	7	1	7	7	1	1	1	6	1	1	6	5	0	1	1	6	1	6
"d178"	"Pastor Valdivieso, Aurelio"	"4"	"21"	1	1	1	1	7	7	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	1	1	1	1	1	1	7	7	1	1	1	1	1	1	1	7	1	6	1	1	5	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"d075"	"Pease García, Henry Gustavo"	"3"	"14"	1	1	1	1	7	7	1	7	1	6	6	7	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	6	0	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	7	7	7	7	6	6	1	1	7	7	1	7	7	1	1	1	7	7	1	7	7	7	7	1	7	6	7	7	7	7	1		1	7	7	7	1	1	7	7	7	7	7	7	7	0	0					
"d179"	"Peralta Cruz, Jhony Alexander"	"4"	"19"	1	1	8	8	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	6	1	1	1	1	1	1	1	1	1	0	1	1	1	7	7	7	7	7	7	7	7	7	1	7	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	1	1	1	1	1	7	1	1	7	1	1	1	1	1	1	1	1	1	1	1	7	7	1	1	1	1	7	1	1	1	1	1	1	7	7	7	7	7
"d079"	"Ramírez Canchari, Juan De Dios"	"3"	"10"	1	1	1	1	1	1	7	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	7	1	1	6	7	7	1	1	7	1	7	7	1	1	1	1	1	1	7	7	7	7	7	7	7	7	1	1	7	1	1	1	7	1	1	1	1	1	1	1	0	0	7	1	1	1	1	7	6	1	1	1	1	7	1	1	7	7	7	7	7	7	7	7	7
"d180"	"Ramos Cuya, Eittel"	"3"	"6"	1	1	1	1	1	1	6	6	6	6	6	1	0	1	1	1	1	1	1	6	1	1	1	1	1	1	1	6	1	1	0	1	1	1	1	1	1	1	1	1	1	7	7	6	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	7	1	1	7	1	1	7	1	1	1	1	1	1	1	1	1	1	0	0	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	7
"d181"	"Ramos Loayza, Pedro Carlos"	"10"	"10"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	7	7	7	7	7	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	6	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
"d182"	"Raza Urbina, Segundo Rodolfo"	"4"	"12"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	8	8	8	8	8	8	8	1	1	1	1	1	1	1	1	1	0	7	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"d084"	"Rengifo Ruiz, Marciano Segundo"	"3"	"21"	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	0	0	7	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	0	0	1	0	1	1	0
"d183"	"Rengifo Ruiz, Wilmer Edilbero"	"3"	"13"	1	1	7	1	8	8	1	1	6	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	7	7	1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
"d184"	"Requena Oliva, Juan Humberto"	"5"	"19"	1	1	1	1	7	7	1	1	1	1	1	1	0	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	7	7	7	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d086"	"Rey Rey, Rafael"	"11"	"14"	1	1	1	1	8	8	1	1	1	0	1	1	0	1	1	7	7	7	7	7	1	0	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	1	1	1	1	1	0	6	7	7	1	1	1	7	0	1	1	1	6	7	1	1	1	1	1	7	7	7	7	7	6	6	1	7	1	1	7	5	1	1	1	6	6	7	1	1	1	1	6	1	7	7	7	1	1	7	1	0
"d185"	"Risco Montalván, José Luis"	"11"	"14"	1	1	1	1	1	1	1	1	1	6	6	1	0	1	1	1	1	7	7	7	1	0	1	1	5	5	1	6	1	1	7	7	7	1	7	1	7	7	7	7	7	7	1	6	0	1	1	7	1	1	7	7	7	7	7	6	6	1	1	6	7	1	7	1	7	7	1	1	1	1	6	6	1	1	1	1	1	1	7	1	1	7	1	1	1	1	1	1	1	1	1	1	1	6	1	1	0	0	1	1	1	1	1
"d186"	"Robles López, Daniel"	"4"	"12"	1	1	1	1	1	1	7	7	7	1	1	1	1	1	1	0	5	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	7	7	7	1	7	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	1	1	1
"d187"	"Rodrich Ackerman, Jacquez Salomón"	"3"	"14"	1	1	1	1	1	6	1	7	1	1	1	1	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	7	7	7	7	7	1	1	7	1	1	1	1	1	0	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	1	6	5	1	7	1	1	1	1	7	7	1	1	1	0	7	1	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	6	1	1	6
"d091"	"Saavedra Mesones, Cruz Gerardo"	"3"	"13"	1	5	7	7	1	1	7	7	7	6	6	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	6	8	1	1	1	1	1	1	1	1	1	1	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
"d092"	"Salgado Rubianes, Luz Filomena"	"1"	"14"	5	5	7	7	1	1	7	7	7	6	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9																																																																											
"d188"	"Salhuana Cavides, Eduardo"	"3"	"16"	1	1	7	1	7	7	7	7	7	6	6	1	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	6	1	1	0	7	7	7	7	7	7	7	7	7	7	7	7	7	5	1	1	1	7	7	7	7	7	1	6	7	6	1	1	1	1	7	1	7	8	8	8	8	8	8	8	8	8	8	1	6	1	1	0	0	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d189"	"Sánchez Mejía, Glodomiro"	"3"	"18"	1	1	1	1	1	1	1	1	1	7	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	7	7	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	7	7	7	1	1	1	1	1	1	0	0	1	1	1	1	0
"d095"	"Sánchez Pinedo de Romero, Luz Doriz"	"3"	"12"	1	1	1	1	1	7	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
"d190"	"Santa María Calderón, Luis Hermógenes"	"4"	"12"	1	1	7	1	1	1	7	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1
"d191"	"Santa María Del Aguila, Róger"	"4"	"24"	1	1	8	8	1	1	1	1	1	6	6	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	6	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	6	1	6	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	1	1	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"d100"	"Solari De La Fuente, Luis María Santiago Eduardo"	"3"	"14"	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1	1	1	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	0	0	1	1	1	1	6
"d192"	"Taco Llave, José"	"3"	"7"	1	1	8	8	1	1	7	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	7	7	7	7	7	7	1	1	5	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	7	7	7	7	7	7	1	0	1	1	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
"d103"	"Tait Villacorta, Cecilia Roxana"	"3"	"14"	1	1	1	1	7	7	6	1	1	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	0	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	1	1	6	1	1	1	1	1	1	1	1	1	0	6	1	7	7	7	7	7	7	7	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
"d193"	"Tapia Samaniego, Hildebrando"	"11"	"11"	1	1	1	1	8	8	1	1	1	1	1	1	0	1	7	7	7	7	7	7	1	0	5	5	5	5	5	1	8	8	0	1	1	1	1	1	1	1	1	1	1	1	1	7	7	1	1	1	7	7	7	7	7	7	7	1	1	1	1	5	1	1	1	7	0	7	1	1	1	1	1	1	1	0	8	8	8	8	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
"d106"	"Torres Ccalla, Leoncio Zacarías"	"3"	"20"	1	1	1	1	1	1	1	1	1	6	6	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	6	6	6	7	7	7	1	1	1	1	1	1	1	7	5	7	6	1	1	1	1	1	7	1	1	1	7	7	6	7	7	1	1	1	1	1	1	1	1	1	7	6	7	1	7	1	1	7	7	7	7	7	7	7	6	6	1	1	1	1	7	1	7	1	7	6	1	7	7	0	7	1	5	1	1	0
