c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107
"d133"	"Benítez Rivas, Heriberto Mauel"	"5"	"14"	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	7	1	1	6	1	1	1	1	1	1	1	1	1	7	1	0	0	1	1	1	1	7
"d134"	"Bustamante Coronado, Mauel Jesús"	"5"	"5"	1	1	1	1	7	7	7	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	1	7	1	7	1	1	1	1	7	1	1	1	1	1	1	7	1	0	0	1	1	1	7	7	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
"d015"	"Cabanillas Bustamante de Llanos, Mercedes"	"4"	"14"	1	1	1	1	1	1	1	1	7	6	6	1	7	7	7	6	1	1	1	1	1	1	1	1	1	1	1	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	1	1	1	1	1	1	1	1	1	1	1	7	7	8	8	8	8	8	8	8	1	1	1	1	1	1	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
"d135"	"Calderón Castillo, Ivan Oswaldo"	"10"	"19"	1	1	1	1	1	1	1	1	1	6	6	6	1	5	1	0	1	1	1	1	1	0	7	7	7	7	7	6	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	7	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	1	1	1	1	1	0	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
"d136"	"Carhuaricra Meza, Eduardo Rubén"	"10"	"18"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	7	7	7	7	7	1	1	1	0	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	6	7	7	7	7	7	7	7	7	7	7	7	1	1	1	0	0	6	1	7	1	1	1	7	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7
"d137"	"Carrasco Távara, José Carlos"	"4"	"19"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	6	1	7	1	0	1	1	1	1	1	1	1	1	1	6	1	7	7	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1
"d138"	"Chamorro Balvín, Alcides Glorioso"	"5"	"11"	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	7	1	1	1	5	0	1	1	1	1	1	1	1	7	7	7	1	1	1	1	1	1	0	0	1	1	1	1	1
"d139"	"Chávez Chuchón, Héctor Hugo"	"11"	"4"	1	1	1	1	1	1	1	1	1	5	1	1	0	1	1	0	0	0	5	1	1	0	7	7	7	7	7	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	1	1	1	7	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	7	1	1	1	1	1	1	1	8	8	8	8	8	8	8	1	1	1	7	1	7	1	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1
"d021"	"Chávez Cossío de Ocampo, Martha Gladys"	"12"	"14"	5	5	8	8	5	1	1	1	5	6	6	5	0	0	0	0	5	0	5	5	5	0	1	1	5	5	5	7	1	1	1	1	1	5	1	1	5	5	5	0	1	5	5	7	0	0	0	1	1	1	1	1	1	1	1	6	6	0	0	5	0	7	7	5	5	7	5	1	1	0	5	5	5	1	5	1	1	0	1	1	1	1	0	0	1	1	1	5	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1
"d022"	"Chávez Sibina, Jorge Samuel"	"3"	"15"	1	7	7	1	1	1	1	1	6	1	1	1	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	7	1	1	0	1	1	1	1	7	7	7	7	7	1	1	1	7	1	1	1	6	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	7	7	7	7	8	8	8	1	7	0	1	1	1	1	1	1	1	1	1	1	1	6	7	7	7	7	7	0	1	1	1	1	0
"d140"	"Chávez Trujillo, Carlos Magno"	"4"	"0"	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	0	1	7	7	7	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	7	1	1
